WordID Frequency
(29, 144433)
(33, 72117)
(12, 64170)
(23, 56701)
(30, 48337)
(60, 42727)
(233, 39128)
(42, 33357)
(81, 27074)
(474, 26534)
(251, 19929)
(48, 19683)
(144, 19130)
(27, 18456)
(722, 18230)
(922, 18037)
(52, 17008)
(388, 15433)
(122, 14501)
(473, 13598)
(51, 13380)
(160, 13154)
(644, 12963)
(775, 12289)
(72, 11178)
(16, 11109)
(104, 10900)
(297, 10657)
(139, 9969)
(749, 9638)
(477, 9560)
(995, 9465)
(235, 9219)
(766, 9206)
(813, 9067)
(100, 8976)
(1003, 8883)
(877, 8514)
(301, 8399)
(304, 8145)
(778, 7844)
(99, 7709)
(80, 7498)
(466, 7496)
(969, 7474)
(886, 7314)
(239, 6891)
(770, 6747)
(850, 6721)
(314, 6588)
(83, 6494)
(930, 6114)
(142, 6052)
(67, 5914)
(863, 5862)
(44, 5773)
(458, 5707)
(340, 5659)
(828, 5574)
(49, 5467)
(663, 5385)
(912, 5259)
(25, 5134)
(476, 5087)
(438, 4987)
(1028, 4939)
(73, 4933)
(748, 4792)
(307, 4677)
(312, 4618)
(630, 4524)
(467, 4520)
(295, 4507)
(531, 4302)
(282, 4143)
(1030, 4070)
(1319, 4025)
(1015, 3957)
(823, 3666)
(942, 3605)
(137, 3566)
(902, 3521)
(792, 3468)
(245, 3452)
(978, 3355)
(1018, 3347)
(492, 3277)
(299, 3229)
(143, 3200)
(921, 3186)
(31, 3090)
(745, 3072)
(368, 3067)
(131, 3057)
(2045, 3053)
(1576, 2965)
(574, 2960)
(456, 2920)
(316, 2898)
(289, 2876)
