3 12 3
3 16 1
3 23 3
3 25 1
3 27 1
3 29 8
3 30 5
3 33 14
3 42 5
3 51 1
3 52 6
3 60 10
3 72 2
3 76 1
3 80 2
3 81 3
3 83 1
3 99 2
3 131 2
3 139 3
3 144 3
3 183 1
3 233 8
3 239 1
3 251 4
3 252 1
3 279 2
3 298 2
3 299 1
3 301 1
3 307 1
3 314 1
3 391 1
3 397 1
3 419 1
3 428 1
3 431 1
3 438 1
3 458 3
3 467 1
3 473 5
3 474 12
3 477 3
3 483 1
3 492 2
3 498 1
3 531 2
3 550 1
3 644 1
3 646 3
3 663 1
3 722 1
3 728 1
3 745 1
3 746 1
3 759 2
3 766 1
3 769 1
3 770 3
3 775 1
3 778 3
3 783 1
3 838 1
3 841 1
3 845 1
3 876 1
3 886 3
3 894 1
3 902 1
3 912 1
3 920 2
3 922 6
3 934 1
3 966 1
3 969 4
3 972 2
3 995 3
3 1003 1
3 1009 1
3 1015 2
3 1023 1
3 1028 3
3 1057 1
3 1065 2
3 1066 2
3 1110 1
3 1111 2
3 1112 2
3 1113 2
3 1114 1
3 1115 1
3 1134 1
3 1202 2
3 1235 1
3 1240 1
3 1319 2
3 1321 1
3 1331 1
3 1404 1
3 1438 1
3 1452 1
3 1458 1
3 1465 1
3 1474 1
3 1500 1
3 1538 2
3 1547 1
3 1552 1
3 1571 1
3 1572 1
3 1608 2
3 1638 1
3 1664 1
3 1745 1
3 1746 2
3 1757 1
3 1761 1
3 1821 1
3 1880 1
3 1900 2
3 1904 1
3 1945 1
3 1953 1
3 1989 1
3 2080 1
3 2119 1
3 2165 1
3 2291 1
3 2318 1
3 2363 1
3 2379 1
3 2752 2
3 2954 1
3 2964 1
3 3065 2
3 3186 1
3 3325 1
3 3444 3
3 3465 2
3 3518 2
3 3626 1
3 3720 1
3 3721 2
3 3910 1
3 3911 2
3 3912 1
3 3913 4
3 3924 5
3 4454 1
3 5201 1
3 5203 1
3 5204 1
3 5273 2
3 5509 1
3 5675 2
3 5746 1
3 6098 1
3 6227 1
3 6373 1
3 6627 1
3 6718 1
3 6998 1
3 7502 5
3 7661 2
3 7890 1
3 7978 1
3 8822 2
3 8836 1
3 8952 1
3 9327 1
3 9417 1
3 9418 1
3 9419 1
3 9420 1
3 11818 1
3 27367 1
3 37888 1
3 53223 1
